text,label
现头昏口苦,{'口苦': '临床表现'}
目的观察复方丁香开胃贴外敷神阙穴治疗慢性心功能不全伴功能性消化不良的临床疗效,"{'复方丁香开胃贴': '中医治疗', '心功能不全伴功能性消化不良': '西医诊断'}"
舒肝和胃消痞汤；功能性消化不良,{'功能性消化不良': '西医诊断'}
患者３ａ前咯血，被诊断为肺结核，住院４０余天时出现腹痛，经治疗好转，但时有发作，坚持服抗痨药３ａ后，因腹痛基本缓解，肺结核治愈而停药,"{'咯血': '临床表现', '肺结核': '西医诊断'}"
治疗组采用复方蜥蜴散不同微粒组合剂（密点麻蜥、炙黄芪、焦乌梅、炒白芍、三七、半枝莲等）治疗,"{'复方蜥蜴散': '方剂', '密点麻蜥': '中药', '炙黄芪': '中药', '焦乌梅': '中药', '炒白芍': '中药', '三七': '中药', '半枝莲': '中药'}"
经检查诊断为“缩窄性心包炎”,{'缩窄性心包炎': '西医诊断'}
按语：肝硬化腹水属中医“鼓胀”、“水鼓”范畴，鼓胀为临床疑难重症之一，初期多为气滞湿阻致使腹水形成，日久脾肾亦虚，肝肾阴虚，肝脾肾三脏功能失调，气滞血瘀，水饮停留于腹中，本虚而标实,{'水鼓': '中医诊断'}
柴枳半夏泻心汤对功能性消化不良胃动力的影响,"{'柴枳半夏泻心汤': '方剂', '功能性消化不良': '西医诊断'}"
对照组２８例，莫沙必利５ｍｇ，餐前半小时口服，３次／ｄ,{'莫沙必利': '西医治疗'}
气滞胃痛颗粒联合乳果糖治疗便秘型肠易激综合征临床研究,"{'气滞胃痛颗粒': '中医治疗', '便秘型肠易激综合征': '西医诊断'}"
板蓝根３０ｇ,{'板蓝根': '中药'}
此时五苓散合己椒苈黄汤可获良效,"{'五苓散': '方剂', '己椒苈黄汤': '方剂'}"
二金汤是胡老自拟的经验方，由羊草结、藿香、木香、鸡内金、郁金、台乌、延胡、川楝子、柴胡、茵陈等约组成,"{'羊草结': '中药', '木香': '中药', '鸡内金': '中药', '柴胡': '中药', '茵陈': '中药'}"
１９９９年４月１２日起恶寒发热，头痛身楚，腹胀纳呆，溲黄便软，谷丙转氨酶＆ｇｔ,{'纳呆': '临床表现'}
辨证治疗慢性萎缩性胃炎７０例,{'慢性萎缩性胃炎': '西医诊断'}
方法：将符合标准的１１４例非酒精性脂肪肝患者随机分为针药联合组、针灸组、甘草酸二铵组,"{'非酒精性脂肪肝': '西医诊断', '针灸': '中医治疗'}"
消化不良；顺胃丸；驱风脐帖；,{'驱风脐帖': '中医治疗'}
目的：探讨加味三香汤治疗肝郁脾虚型功能性消化不良患者的临床疗效及对患者抑郁焦虑状态的影响,"{'肝郁脾虚': '中医证候', '功能性消化不良': '西医诊断'}"
灸法；热敏灸；胃食管反流；咳嗽；反流性疾病问卷；咳嗽严重程度评分；莱塞斯特咳嗽问卷；质子泵抑制剂,{'热敏灸': '中医治疗'}
舌质紫，苔薄白，脉小弦略滑,{'苔薄白': '临床表现'}
按：患者以“腹痛腹泻１０年余”为主诉，属于中医“泄泻”的范畴,"{'腹泻': '临床表现', '泄泻': '中医诊断'}"
中医辨证为肠痈（寒湿困脾）,"{'肠痈': '中医诊断', '寒湿困脾': '中医证候'}"
结肠黑变病；理肺润肠方；福松,"{'结肠黑变病': '西医诊断', '福松': '西医治疗'}"
功能性消化不良；辨证论治；香砂六君子汤；柴胡疏肝散；连朴饮,{'功能性消化不良': '西医诊断'}
中医证属湿热阳黄,{'湿热阳黄': '中医证候'}
此系湿热挟淤之黄疸，宜以宣通气分清热化湿，佐以化淤而消息之,{'湿热挟淤之黄疸': '中医诊断'}
方法采用区组随机法，将功能性消化不良患者分成针刺安神和胃治疗组和非穴点浅刺对照组,"{'功能性消化不良': '西医诊断', '安神和胃': '中医治则'}"
